excluir;unidade;ano;mes;grau;score;predicao_obito;saidas;obitos_esperados;obitos_ocorridos
01/2019;HRAD;2019,0;1,0;I;0 a 5;9,3;9,0;0,84;0,0
01/2019;HRAD;2019,0;1,0;II;6 a 10;55,9;3,0;1,68;0,0
01/2019;HRAD;2019,0;1,0;III;11 a 5;73,1;1,0;0,73;0,0
01/2019;HRAD;2019,0;1,0;IV;> 15;100;0,0;0,0;0,0
02/2019;HRAD;2019,0;2,0;I;0 a 5;9,3;3,0;0,28;0,0
02/2019;HRAD;2019,0;2,0;II;6 a 10;55,9;3,0;1,68;1,0
02/2019;HRAD;2019,0;2,0;III;11 a 5;73,1;0,0;0,0;0,0
02/2019;HRAD;2019,0;2,0;IV;> 15;100;0,0;0,0;0,0
03/2019;HRAD;2019,0;3,0;I;0 a 5;9,3;6,0;0,56;0,0
03/2019;HRAD;2019,0;3,0;II;6 a 10;55,9;2,0;1,12;1,0
03/2019;HRAD;2019,0;3,0;III;11 a 5;73,1;0,0;0,0;0,0
03/2019;HRAD;2019,0;3,0;IV;> 15;100;0,0;0,0;0,0
04/2019;HRAD;2019,0;4,0;I;0 a 5;9,3;5,0;0,46;0,0
04/2019;HRAD;2019,0;4,0;II;6 a 10;55,9;1,0;0,56;0,0
04/2019;HRAD;2019,0;4,0;III;11 a 5;73,1;2,0;1,46;2,0
04/2019;HRAD;2019,0;4,0;IV;> 15;100;0,0;0,0;0,0
05/2019;HRAD;2019,0;5,0;I;0 a 5;9,3;6,0;0,56;0,0
05/2019;HRAD;2019,0;5,0;II;6 a 10;55,9;2,0;1,12;0,0
05/2019;HRAD;2019,0;5,0;III;11 a 5;73,1;2,0;1,46;1,0
05/2019;HRAD;2019,0;5,0;IV;> 15;100;0,0;0,0;0,0
06/2019;HRAD;2019,0;6,0;I;0 a 5;9,3;6,0;0,56;0,0
06/2019;HRAD;2019,0;6,0;II;6 a 10;55,9;1,0;0,56;1,0
06/2019;HRAD;2019,0;6,0;III;11 a 5;73,1;1,0;0,73;1,0
06/2019;HRAD;2019,0;6,0;IV;> 15;100;0,0;0,0;0,0
07/2019;HRAD;2019,0;7,0;I;0 a 5;9,3;6,0;0,56;0,0
07/2019;HRAD;2019,0;7,0;II;6 a 10;55,9;3,0;1,68;0,0
07/2019;HRAD;2019,0;7,0;III;11 a 5;73,1;2,0;1,46;2,0
07/2019;HRAD;2019,0;7,0;IV;> 15;100;1,0;1,0;0,0
08/2019;HRAD;2019,0;8,0;I;0 a 5;9,3;4,0;0,37;0,0
08/2019;HRAD;2019,0;8,0;II;6 a 10;55,9;1,0;0,56;0,0
08/2019;HRAD;2019,0;8,0;III;11 a 5;73,1;2,0;1,46;1,0
08/2019;HRAD;2019,0;8,0;IV;> 15;100;0,0;0,0;0,0
09/2019;HRAD;2019,0;9,0;I;0 a 5;9,3;8,0;0,74;0,0
09/2019;HRAD;2019,0;9,0;II;6 a 10;55,9;2,0;1,12;0,0
09/2019;HRAD;2019,0;9,0;III;11 a 5;73,1;0,0;0,0;0,0
09/2019;HRAD;2019,0;9,0;IV;> 15;100;0,0;0,0;0,0
10/2019;HRAD;2019,0;10,0;I;0 a 5;9,3;4,0;0,37;0,0
10/2019;HRAD;2019,0;10,0;II;6 a 10;55,9;1,0;0,56;0,0
10/2019;HRAD;2019,0;10,0;III;11 a 5;73,1;2,0;1,46;0,0
10/2019;HRAD;2019,0;10,0;IV;> 15;100;1,0;1,0;0,0
11/2019;HRAD;2019,0;11,0;I;0 a 5;9,3;8,0;0,74;0,0
11/2019;HRAD;2019,0;11,0;II;6 a 10;55,9;1,0;0,56;0,0
